"Id","Time","Text","Favourites","Retweets","Total Mentions","URL"
"1016253311522164736","Mon Jul 09 09:30:45 +0000 2018","We seem to have stirred a sleeping dragon with this idea !
This is going to be a real one-day conference in London.… https://t.co/JOJu7zlyEM","15","16","31","https://twitter.com/i/web/status/1016253311522164736"
"1015535398087528449","Sat Jul 07 09:58:01 +0000 2018","This is a Call for Sessions for 2018 @FFSTechConf.

All sessions must start ""FFS..."" and last no more than 15 minut… https://t.co/qsVvDmsCPa","539","289","828","https://twitter.com/i/web/status/1015535398087528449"
"1016251590079074304","Mon Jul 09 09:23:54 +0000 2018","Update on Call for Sessions for 2018 @FFSTechConf.
You can:
 - Submit 1 tweet for session proposal using format: FF… https://t.co/wnat3KqFCZ","9","6","15","https://twitter.com/i/web/status/1016251590079074304"
"1016990537289732097","Wed Jul 11 10:20:13 +0000 2018","#FFSTechConf people have asked for a leaderboard of proposals. Here you go. https://t.co/6y9ejZ5t7c","0","2","2","https://twitter.com/i/web/status/1016990537289732097"
"1017341344346460160","Thu Jul 12 09:34:12 +0000 2018","So we've got more than 460 proposals so far, and gaining 20 per day! And 3700+ votes. We're working on venues and d… https://t.co/8HEKsUbu1l","22","23","45","https://twitter.com/i/web/status/1017341344346460160"
"1015568620284411905","Sat Jul 07 12:10:02 +0000 2018","Crowd voting on #FFSTechConf submissions will be taken into account : ""likes, retweets, replies... https://t.co/9WKI5oFLCK","3","1","4","https://twitter.com/i/web/status/1015568620284411905"
"1015571315955138563","Sat Jul 07 12:20:44 +0000 2018","Please re-submit using #FFSTechConf tag

e.g. FFS why can't people read 
#simpleInstructions #FFSTechConf https://t.co/LZkwymZBxK","3","1","4","https://twitter.com/i/web/status/1015571315955138563"
