"Id","Time","Text","Favourites","Retweets","Total Mentions","URL"
"1017166586434785281","Wed Jul 11 21:59:46 +0000 2018","FFS use the addition of a feature as a reason to make the code better, not as an excuse to make it worse","2","1","3","https://twitter.com/i/web/status/1017166586434785281"
"1016314349118296064","Mon Jul 09 13:33:17 +0000 2018","FFS PowerPoint and Excel were  not designed for documentation. (This session could run in any track and, for that m… https://t.co/eheL203PMq","7","3","10","https://twitter.com/i/web/status/1016314349118296064"
"1016601313726029825","Tue Jul 10 08:33:35 +0000 2018","FFS Stop building ""distributed"" systems with centralized components that can't handle failure or overload.","4","2","6","https://twitter.com/i/web/status/1016601313726029825"
"1015597428370649089","Sat Jul 07 14:04:30 +0000 2018","FFS OpenApi is just WSDL, go wash your mouth out with SOAP","40","5","45","https://twitter.com/i/web/status/1015597428370649089"
"1015696285133934593","Sat Jul 07 20:37:19 +0000 2018","FFS MicroServices are just EJBs without the good bits","1","0","1","https://twitter.com/i/web/status/1015696285133934593"
"1015640750996926464","Sat Jul 07 16:56:39 +0000 2018","FFS act as if you take some pride in your work","1","0","1","https://twitter.com/i/web/status/1015640750996926464"
"1015697233633857537","Sat Jul 07 20:41:05 +0000 2018","FFS, YAML? Really? Were literally none of the other options available? Did we have to settle on the wo… https://t.co/dSUK79DT2S","5","1","6","https://twitter.com/i/web/status/1015697233633857537"
"1015916887639719937","Sun Jul 08 11:13:55 +0000 2018","FFS not him again. A talk on why I refuse to go anywhere Geoff Gothelf is preaching (repl… https://t.co/KlnzDpDd2E","2","1","3","https://twitter.com/i/web/status/1015916887639719937"
"1017492253974114304","Thu Jul 12 19:33:52 +0000 2018","FFS, all entries into tech are valid, stop treating bootcampers, self taught, and on the job educated as less than","13","1","14","https://twitter.com/i/web/status/1017492253974114304"
"1015693989440344064","Sat Jul 07 20:28:12 +0000 2018","FFS They killed Enterprise Java! You bastards!!","5","1","6","https://twitter.com/i/web/status/1015693989440344064"
"1015593367122665474","Sat Jul 07 13:48:22 +0000 2018","FFS Cortana 🤦🏻‍♀️","1","0","1","https://twitter.com/i/web/status/1015593367122665474"
"1016130191389855744","Mon Jul 09 01:21:31 +0000 2018","FFS stop trash talking Visual Basic 6! 

(Until your fav toolchain can at least match the productivity of the long… https://t.co/48mOJWWHwG","2","1","3","https://twitter.com/i/web/status/1016130191389855744"
"1015646285842575360","Sat Jul 07 17:18:38 +0000 2018","FFS to create an object, just use ""new""","8","1","9","https://twitter.com/i/web/status/1015646285842575360"
"1016092802491600896","Sun Jul 08 22:52:56 +0000 2018","FFS your digitalization strategy needs to be more than let's found a start up","1","1","2","https://twitter.com/i/web/status/1016092802491600896"
"1017066335631650816","Wed Jul 11 15:21:25 +0000 2018","FFS don't break the browser's back button or open in new tab feature. 

Abstract:
I just y… https://t.co/D9ibs9guU1","7","5","12","https://twitter.com/i/web/status/1017066335631650816"
